collection||شعب الإيمان
book||شعب الإيمان
chapter||باب ذكر الحديث الذي ورد في شعب الإيمان
hadith|1|أخبرنا أبو عبد الله محمد بن عبد الله بن محمد بن حمدويه الحافظ رحمه الله تعالى ثنا أبو عبد الله محمد بن يعقوب ثنا أبو عمرو أحمد بن المبارك المستملي وأبو سعيد محمد بن شاذان الأصم قالا ثنا أبو قدامه عبيد الله بن سعيد ثنا أبو عامر العقدي ثنا سليمان بن بلال عن عبد الله بن دينار عن أبي صالح عن أبي هريرة رضي الله عنه عن النبي صلى الله عليه وسلم قال الايمان بضع وستون شعبة والحياء شعبة من الإيمان رواه أبو عبد الله محمد بن إسماعيل البخاري في الصحيح عن عبد الله بن محمد المسندي عن أبي عامر ورواه أبو الحسين مسلم بن الحجاج عن عبيد الله بن سعيد
hadith|2|أخبرنا أبو صالح العنبر بن الطيب بن محمد العنبري بن ابنة يحيى بن منصور القاضي أنبا جدي ثنا أحمد بن سلمة ثنا إسحاق بن إبراهيم الحنظلي وعمرو بن زرارة الكلابي قالا أنبا جرير عن سهيل بن أبي صالح عن عبد الله بن دينار عن أبي صالح عن أبي هريرة رضي الله عنه عن رسول الله صلى الله عليه وسلم قال الايمان بضع وستون أو سبعون شعبة فأرفعها قول لا إله إلا الله وأدناها إماطة الأذى عن الطريق والحياء شعبة من الايمان رواه مسلم في الصحيح عن زهير بن حرب عن جرير قال الإمام أحمد 1 رحمه الله تعالى وهذا الشك وقع من سهيل بن أبي صالح في بضع وستين أو في بضع وسبعين وسليمان بن بلال قال بضع وستون لم يشك فيه وروايته أصح عند أهل العلم بالحديث غير أن بعض الرواة عن سهيل رواه من غير شك قال بضع وسبعون أفضلها قول لا إله إلا الله وأدناها إماطة الأذى والعظم عن الطريق والحياء شعبة من الإيمان
hadith|3|أخبرنا أبو علي الحسين بن محمد بن محمد بن علي الروذباري أنبأ أبو بكر محمد بن بكر ثنا أبو داود السجستاني ثنا موسى بن إسماعيل ثنا حماد بن سلمة أنبا سهيل بن أبي صالح فذكره من غير شك وهذا زائد فأخذ به صاحب كتاب المنهاج في تقسيمه ذلك على سبعة وسبعين بابا بعد بيان صفة الإيمان وبالله التوفيق
chapter||باب حقيقة الإيمان
chapter||باب الدليل على أن التصديق بالقلب والإقرار باللسان أصل الإيمان وأن كليهما شرط في النقل عن الكفر عند عدم العجز
hadith|4|أخبرنا أبو محمد جناح بن نذير بن جناح القاضي بالكوفة ثنا أبو جعفر محمد بن علي بن دحيم ثنا أبو عمرو أحمد بن حازم الغفاري أنبأ يعلى بن عبيد عن الأعمش عن أبي سفيان عن جابر وعن أبي صالح عن أبي هريرة قالا قال رسول الله صلى الله عليه وسلم أمرت أن أقاتل الناس حتى يقولوا لا إله إلا الله فإذا قالوها منعوا دماءهم وأموالهم إلا بحقها وحسابهم على الله عز وجل أخرجه مسلم في الصحيح من وجه آخر عن الأعمش
hadith|5|أخبرنا أبو صالح بن أبي طاهر العنبري أنبا جدي يحيى بن منصور القاضي ثنا أحمد بن سلمة ثنا أحمد بن عبدة أنبا عبد العزيز بن محمد عن العلاء بن عبد الرحمن عن أبيه عن أبي هريرة أن النبي قال أمرت أن أقاتل الناس حتى يشهدوا أن لا إله إلا الله ويؤمنوا بي فإن شهدوا أن لا إله إلا الله وآمنوا بي وبما جئت به فقد عصموا مني دماءهم إلا بحقها وحسابهم على الله رواه مسلم في الصحيح عن أحمد بن عبدة وأخرج حديث عكرمة بن عمار عن أبي كثير عن أبي هريرة عن النبي صلى الله عليه وسلم اذهب فمن لقيت يشهد أن لا إله إلا الله مستيقنا بها قلبه فبشره بالجنة
hadith|6|أخبرنا أبو عبد الله الحافظ أنبا أبو الحسين محمد بن أحمد بن تميم القنطري ثنا أحمد بن محمد بن عيسى القاضي ثنا أبو حذيفة ثنا عكرمة بن عمار بإسناده ومعناه
hadith|7|أخبرنا أبو طاهر محمد بن محمد بن محمش الفقيه أنبا أبو حامد أحمد بن محمد بن يحيى ثنا علي بن الحسن بن أبي عيسى الدارابجردي ثنا محمد بن عرعرة بن البرند ثنا شعبة عن قتادة عن أنس بن مالك عن معاذ بن جبل أن رسول الله صلى الله عليه وسلم قال من مات وهو يشهد أن لا إله إلا الله وأن محمدا رسول الله صادقا من قلبه دخل الجنة وروينا في هذا المعنى عن عتبان بن مالك ورفاعة بن عرابة وغيرهما عن النبي صلى الله عليه وسلم
